network,sales_2025,share,cum_share
BUONA GENTE,33780.46000000003,0.0013506160133726615,0.9894771200970376
SANI,30804.650000000074,0.0012316366792027172,0.9907087567762403
PASTORINHO,28207.939999999984,0.0011278145847704614,0.9918365713610108
SABOR DA ROCA,22735.83999999995,0.000909028165438795,0.9927455995264496
TUDO DE BOM,21059.339999999982,0.0008419980614550358,0.9935875975879046
EMP. TARTUFO,15629.769999999966,0.000624912083711458,0.994212509671616
SUP. JAGUARE,14751.440000000002,0.0005897945464421148,0.9948023042180582
VARANDA,14277.169999999916,0.0005708322038137915,0.995373136421872
ABELHA GULOSA,14097.539999999983,0.0005636502070475533,0.9959367866289195
H.PIRASSUNUNGA,12824.429999999997,0.0005127485096525252,0.996449535138572
PADARIA PIRACAM,12741.049999999983,0.0005094147965179192,0.9969589499350899
C.C ST MARIA,12538.750000000007,0.0005013264040121554,0.9974602763391021
REMAFRA,10690.789999999985,0.0004274409575714565,0.9978877172966735
MUSEU DA GULA,9663.979999999996,0.00038638686805665516,0.9982741041647302
STEAK PARK,8748.300000000005,0.0003497759968273982,0.9986238801615576
EMP. HIGIENOPOLIS,7441.710000000002,0.00029753569646107434,0.9989214158580186
PAD. PAO CAMBUI,6649.940000000003,0.00026587901561930756,0.9991872948736379
EMP. AUROK,5408.3300000000045,0.00021623675650372335,0.9994035316301416
GUARANI,4346.980000000001,0.0001738016829199688,0.9995773333130615
QUINTAS DO MORUMBI,3954.0100000000016,0.0001580898905176435,0.9997354232035792
VILA DAS FRUTAS,2964.5499999999993,0.00011852913496275419,0.999853952338542
DELTA,1979.4199999999996,7.91415021935791e-05,0.9999330938407356
JAU SERV,1673.3999999999996,6.69061592641962e-05,0.9999999999999998
WATANABE,0.0,0.0,0.9999999999999998
REMARO,0.0,0.0,0.9999999999999998
SOLAR,0.0,0.0,0.9999999999999998
ASSAI,0.0,0.0,0.9999999999999998
SUPER VILLE,0.0,0.0,0.9999999999999998
ZAITT,0.0,0.0,0.9999999999999998
DOM PETROPOLIS,0.0,0.0,0.9999999999999998
PICARRAO,0.0,0.0,0.9999999999999998
DUBAIRRO,0.0,0.0,0.9999999999999998
CATO,0.0,0.0,0.9999999999999998
EMP SAO JOSE,0.0,0.0,0.9999999999999998
CAFE MILLENIUM,0.0,0.0,0.9999999999999998
PORECATU,0.0,0.0,0.9999999999999998
VILA VAREJO,0.0,0.0,0.9999999999999998
EMP. LEVE TUDO,0.0,0.0,0.9999999999999998
BONETTI,0.0,0.0,0.9999999999999998
LEME,0.0,0.0,0.9999999999999998
MORATO,0.0,0.0,0.9999999999999998
EMP. TORIAMA,0.0,0.0,0.9999999999999998
SUP. ESTRELA,0.0,0.0,0.9999999999999998
EMPORIO KM,0.0,0.0,0.9999999999999998
DAVITA,0.0,0.0,0.9999999999999998
EMPORIO PIRANA,0.0,0.0,0.9999999999999998
LIDERANCA,0.0,0.0,0.9999999999999998
EMPORIO VILLAMARIN,0.0,0.0,0.9999999999999998
PRECO E CIA,0.0,0.0,0.9999999999999998
LIV UP,0.0,0.0,0.9999999999999998
PRIMAVERA,0.0,0.0,0.9999999999999998
ESTRELA AZUL LJ,0.0,0.0,0.9999999999999998
SUPER BODEGA,0.0,0.0,0.9999999999999998
EXAMINE,0.0,0.0,0.9999999999999998
M. CACIMBA,0.0,0.0,0.9999999999999998
FITIBITE,0.0,0.0,0.9999999999999998
PROENCA,0.0,0.0,0.9999999999999998
FORT ATACADISTA,0.0,0.0,0.9999999999999998
M.HORTICENTER,0.0,0.0,0.9999999999999998
FREGUESIA,0.0,0.0,0.9999999999999998
PAULISTAO,0.0,0.0,0.9999999999999998
FRUTARIA RP,0.0,0.0,0.9999999999999998
MAKIM,0.0,0.0,0.9999999999999998
MARICOTA,0.0,0.0,0.9999999999999998
ZARELLI,0.0,0.0,0.9999999999999998
GAROTO,0.0,0.0,0.9999999999999998
MARINO,0.0,0.0,0.9999999999999998
GOOD BOM,0.0,0.0,0.9999999999999998
VILLA POMAR,0.0,0.0,0.9999999999999998
GRICKI,0.0,0.0,0.9999999999999998
MAX ATACADO,0.0,0.0,0.9999999999999998
GT6,0.0,0.0,0.9999999999999998
SMART BREAK,0.0,0.0,0.9999999999999998
GUARIZZO,0.0,0.0,0.9999999999999998
MERCADAO,0.0,0.0,0.9999999999999998
H PADRAO,0.0,0.0,0.9999999999999998
VILA MAIS,0.0,0.0,0.9999999999999998
