store,network,sales_2025,share,cum_share
BOA JUNDIAI 03,BOA,110552.89000000019,0.004420144176799892,0.47188509989285876
SOL HORTICENTER MOGI MIRIM,PONTO NOVO,109491.82999999965,0.004377720698044722,0.47626282059090347
COVABRA 20 ITATIBA,COVABRA,109119.67999999954,0.004362841334371854,0.48062566192527534
OBA LIMEIRA,OBA,109054.27000000009,0.004360226100789068,0.4849858880260644
BIG BOM 03,BIG BOM,107381.38999999964,0.004293340732252009,0.4892792287583164
BONFLEX JAGUARIUNA,FRUTTIMIX,106185.93999999999,0.004245544049992921,0.49352477280830936
D AOLIO AMPARO,DAOLIO,105747.39999999978,0.004228010270212992,0.49775278307852233
OBA SP MOEMA,OBA,105344.62000000021,0.004211906252746514,0.5019646893312688
BOA JUNDIAI 06,BOA,104464.25000000003,0.004176707151855257,0.5061413964831241
SUPERMERCADOS BOMMIX  LIMEIRA,BOMMIX,103946.1799999994,0.0041559935902859705,0.51029739007341
BIG BOM 01,BIG BOM,103704.98000000008,0.004146349891460539,0.5144437399648706
HORTIFRUTI IGUATEMI,H.FARTURA,101816.62999999979,0.00407084956527041,0.518514589530141
BIG BOM 02,BIG BOM,101272.61000000023,0.004049098466451911,0.5225636879965929
COVABRA 07 PIRASSUNUNGA,COVABRA,100929.9099999999,0.004035396577614895,0.5265990845742078
EMPORIO SANTA VERENA CPS,EMP. ST VERENA,98707.19000000006,0.003946527414043903,0.5305456119882517
HORTIFRUTI VALINHOS,H.FARTURA,97126.51999999922,0.0038833288011813536,0.534428940789433
PA CPS ITAPURA 2465,GPA,97030.72,0.00387949850952517,0.5383084392989582
PORTUGA,PORTUGA,96898.8900000002,0.003874227660370285,0.5421826669593285
MAMBO INDIANOPOLIS SP,MAMBO,96880.3300000001,0.0038734855913395987,0.5460561525506681
HORTIFRUTI FLAMBOYANT,H.FARTURA,96141.5999999995,0.0038439495646673872,0.5499001021153355
PA MARANHAO 0185,GPA,94872.10999999873,0.003793192602719047,0.5536932947180545
PA TAMBORE 1020,GPA,94585.80000000022,0.0037817453083131476,0.5574750400263676
MAMBO MORUMBI SP,MAMBO,93493.73000000011,0.003738081982540675,0.5612131220089083
ST MARCHE SAO CAETANO DO SUL22,ST MARCHE,93108.9900000001,0.00372269924337771,0.564935821252286
COVABRA 21 ITUPEVA,COVABRA,92296.28999999995,0.00369020573576804,0.5686260269880541
ST MARCHE SP MOOCA 18,ST MARCHE,92239.20999999993,0.003687923553641351,0.5723139505416954
PA SOCRATES 1214,GPA,92002.53999999972,0.0036784609740351175,0.5759924115157306
