metric,2024,2025,var_abs,var_pct
Receita,20163057.510003265,25011150.220005963,4848092.710002698,0.24044432287104622
Volume,5990272.9,7361633.1,1371360.1999999993,0.2289311727350518
Preço médio,3.3659664336833908,3.397500239451755,0.031533805768364065,0.009368425499673316
Sortimento,29.0,29.0,0.0,0.0
