category,sales_2024,sales_2025,qty_2024,qty_2025,price_2024,price_2025,sort_2024,sort_2025,growth_abs,growth_pct
SALADAS,9773722.649998885,12587734.13999406,2350263.9000000004,3012271.0,4.15856391701327,4.17881861890715,7,7,2814011.489995176,0.2879160367821054
IN NATURA,5232891.799998672,5509690.590001764,1891711.0,2068787.1,2.7662215845859497,2.663246783587235,8,9,276798.790003092,0.052895951336727975
COUVE,2191033.480000006,2380220.4900000026,696816.0,765542.0,3.1443501297329655,3.1091964777895957,1,1,189187.00999999652,0.08634601512341833
TEMPEROS,1271007.6699998784,1564718.519999938,565593.0,672184.0,2.2472125185422707,2.3278128012567065,3,3,293710.8500000597,0.23108503349951293
LEGUMES,924461.8000000325,1537922.0499999856,212645.0,352029.0,4.347441980766218,4.368736808615158,5,5,613460.2499999531,0.6635863699288944
VERSATIL,674737.7499999842,1173146.5799998625,250687.0,428130.0,2.691554607937325,2.7401643893206793,3,3,498408.8299998783,0.7386704389963212
GOURMET,95194.97999999869,257717.84999999864,22555.0,62690.0,4.220571048547936,4.110988195884489,1,1,162522.86999999994,1.7072630300463554
SALADA COMPLETA,0.0,0.0,0.0,0.0,,,0,0,0.0,
