category,sales_2024,sales_2025
SALADA COMPLETA,0.0,0.0
GOURMET,95194.97999999869,257717.84999999864
VERSATIL,674737.7499999842,1173146.5799998625
LEGUMES,924461.8000000324,1537922.0499999856
TEMPEROS,1271007.6699998784,1564718.519999938
COUVE,2191033.480000006,2380220.4900000026
IN NATURA,5232891.799998672,5509690.590001764
SALADAS,9773722.649998885,12587734.13999406
