category,growth_abs,growth_pct
IN NATURA,276798.790003092,0.0528959513367279
COUVE,189187.0099999965,0.0863460151234183
TEMPEROS,293710.8500000597,0.2310850334995129
SALADAS,2814011.489995176,0.2879160367821054
LEGUMES,613460.2499999531,0.6635863699288944
VERSATIL,498408.8299998783,0.7386704389963212
GOURMET,162522.86999999994,1.7072630300463554
SALADA COMPLETA,0.0,
