network,price_2025,growth_pct,sales_2025
GPA,4.130252832642281,0.0557332838696227,6891306.199999482
OBA,3.091137147382806,0.270736042411982,2827616.159999849
COVABRA,2.867829969737398,0.1041762940456336,2764298.439999908
SAVEGNAGO,3.055718563560606,0.266288826639554,1599039.1899998838
ST MARCHE,4.056913468946476,8.094095179305935,1485000.720000106
CARREFOUR,4.355218934965658,0.1553913106679676,1322112.0699999507
MAMBO,3.1574205864986866,0.2670784715757492,1283428.319999986
ENXUTO,2.8438609818865506,0.0446717664073512,1034334.9899999936
DALBEN,3.1420375707727657,14.857743761226107,551622.4000000083
BOA,3.018611081747211,0.3030819805998797,542556.0999999985
HIROTA,3.1622202391294305,2.3795646294123864,400419.3000000033
SAN MICHEL,2.3573002608185365,0.8438043952720482,398579.3999999806
H.FARTURA,3.3509591496774305,-0.0918705008191473,396287.7800000026
BIG BOM,2.835631428441778,0.5062843307581106,312358.98000000406
CAETANO,2.7567110706978557,0.0232854427529762,303169.2999999966
NATURAL DA TERRA,3.4404596643647047,2.4781359941962284,295421.9500000041
BIG,4.27822542893349,0.9838968256086708,199232.6800000037
DAOLIO,3.165688736210217,-0.0772452269531187,178775.93999999962
FRUTTIMIX,3.017615691943193,0.0767667715104223,150304.4199999985
KALIMERA,2.5560953108794107,0.843284751297869,140475.32999999978
CENOURAO,3.894685014204554,0.4625900063451522,109674.33000000023
PONTO NOVO,3.244010132732865,0.1934933300545183,109491.82999999964
BOMMIX,3.1926463541986423,0.0907766226698627,103946.1799999994
CUBATAO,2.803276330597553,-0.0357909393796154,102126.15999999948
EMP. ST VERENA,3.2325917799246784,0.0320110265534812,98707.19000000006
PORTUGA,3.156521271744094,-0.1695135650671285,96898.8900000002
BIGLAR,3.0960060143099124,-0.1105456739489195,89570.55000000008
VAREJAO PASSARINHO,3.8959597678579097,0.512140657110264,89283.70999999972
VITORIA MAX,2.57220123839009,2.2456607768605945,83082.0999999999
PAGUE MENOS,3.4154237437296406,-0.805016976470087,77618.91999999981
UNIAO,3.327471296819129,0.0149685988105507,70715.42000000013
SEMPRE VALE,3.2000734242395503,0.2571807361881999,67118.34000000033
CASA DELIZA,3.395872982712672,-0.0850616506545087,65020.77999999953
VILLA REAL,3.358696698946015,1.2285679597605768,62777.399999999965
HAGAPE,3.748890894866712,0.4960631131497752,62295.32000000015
M.QUALIDADE,3.652129439285482,15.251167881600082,51520.590000000295
DB,4.409040841008468,-0.5934382256656956,47392.78000000002
EMPORIO NOVA ERA,4.391626883834133,-0.0233340633316565,46915.75000000004
SUP. TAQUARAL,3.288531877063763,0.0320752069818215,38840.8500000001
VAREJO,3.9242934671308594,-0.6495198858700129,38324.64999999997
EMP. VOVO,3.630751667003447,-0.1207067782091334,35937.18000000012
NOVA MAKIM,3.614890034725879,3.3230995366350307,34352.300000000025
BUONA GENTE,3.5982594801874765,-0.0355987128929652,33780.46000000003
SANI,3.842895459081845,0.2626543546391897,30804.650000000074
TUDO DE BOM,3.3475345731998063,-0.2890034831818376,21059.339999999986
EMP. TARTUFO,4.2997991746905,0.0954353385771968,15629.769999999966
ABELHA GULOSA,3.744366533864537,0.5748397237182081,14097.539999999985
PADARIA PIRACAM,3.9965652446674977,-0.1786008999832387,12741.049999999985
C.C ST MARIA,3.8204600853138353,0.184638786143823,12538.750000000007
MUSEU DA GULA,4.181730852444828,0.0341813480984138,9663.979999999996
STEAK PARK,4.3372830937035225,3.133986078754747,8748.300000000005
GUARANI,3.537005695687552,1.203993266812689,4346.980000000001
